iter	Passed	Remaining
457	816	966
458	817	964
459	820	963
460	821	960
461	822	958
462	823	955
463	824	952
464	826	950
465	827	947
466	827	944
467	829	942
468	831	941
469	834	940
470	835	937
471	836	935
472	837	932
473	838	930
474	839	928
475	840	925
476	842	923
477	843	921
478	846	920
479	847	917
480	848	915
481	849	912
482	850	910
483	851	908
484	852	905
485	853	903
486	855	900
487	856	899
488	859	898
489	860	895
490	861	893
491	862	890
492	863	888
493	864	885
494	865	883
495	866	880
496	867	878
497	869	876
498	872	875
499	873	873
500	874	870
501	875	868
502	876	865
503	877	863
504	878	860
505	879	858
506	880	856
507	882	854
508	885	853
509	886	851
510	887	849
511	888	846
512	889	844
513	890	842
514	891	839
515	892	837
516	894	835
517	897	834
518	898	832
519	899	830
520	900	827
521	901	825
522	902	823
523	903	821
524	905	818
525	906	816
526	907	814
527	910	813
528	911	811
529	912	809
530	913	806
531	914	804
532	915	802
533	917	800
534	918	798
535	920	796
536	922	795
537	924	793
538	925	791
539	926	788
540	927	786
541	928	784
542	929	782
543	931	780
544	933	779
545	935	777
546	936	775
547	937	773
548	938	771
549	939	768
550	940	766
551	942	764
552	943	762
553	944	760
554	947	759
555	948	757
556	949	755
557	951	753
558	952	751
559	953	749
560	954	746
561	956	745
562	958	744
563	960	742
564	961	740
565	962	738
566	963	735
567	964	733
568	965	731
569	966	729
570	968	727
571	970	726
572	972	724
573	973	722
574	973	719
575	974	717
576	976	715
577	977	713
578	978	711
579	979	708
580	982	708
581	984	707
582	986	705
583	987	703
584	988	701
585	989	699
586	990	697
587	991	695
588	993	692
589	994	691
590	997	690
591	998	687
592	999	685
593	1000	683
594	1001	681
595	1002	679
596	1003	677
597	1004	675
598	1005	672
599	1006	670
600	1008	669
601	1010	667
602	1011	665
603	1012	663
604	1013	661
605	1014	659
606	1015	657
607	1016	655
608	1017	652
609	1017	650
610	1020	649
611	1022	648
612	1023	646
613	1024	643
614	1025	641
615	1026	639
616	1027	637
617	1028	635
618	1029	633
619	1030	631
620	1031	629
621	1033	627
622	1035	626
623	1036	624
624	1037	622
625	1038	620
626	1039	618
627	1040	616
628	1041	614
629	1042	612
630	1043	610
631	1045	608
632	1047	607
633	1048	605
634	1049	603
635	1049	600
636	1051	598
637	1052	596
638	1053	594
639	1054	592
640	1055	590
641	1055	588
642	1057	587
643	1059	585
644	1060	583
645	1061	581
646	1062	579
647	1063	577
648	1064	575
649	1065	573
650	1066	571
651	1066	569
652	1068	567
653	1069	566
654	1072	564
655	1073	562
656	1074	560
657	1075	558
658	1076	556
659	1077	554
660	1078	552
661	1079	550
662	1079	548
663	1081	547
664	1082	545
665	1085	544
666	1086	542
667	1087	540
668	1088	538
669	1089	536
670	1090	534
671	1091	532
672	1092	530
673	1093	529
674	1095	527
675	1098	526
676	1099	524
677	1100	522
678	1100	520
679	1101	518
680	1103	516
681	1104	514
682	1105	512
683	1106	511
684	1107	509
685	1109	507
686	1111	506
687	1112	504
688	1113	502
689	1114	500
690	1115	498
691	1116	496
692	1117	495
693	1118	493
694	1120	491
695	1122	490
696	1123	488
697	1124	486
698	1125	484
699	1126	482
700	1127	481
701	1128	479
702	1129	477
703	1130	475
704	1132	473
705	1133	471
706	1135	470
707	1136	468
708	1137	466
709	1138	465
710	1139	463
711	1140	461
712	1141	459
713	1142	457
714	1143	455
715	1145	454
716	1147	452
717	1149	451
718	1150	449
719	1151	447
720	1152	445
721	1153	444
722	1154	442
723	1155	440
724	1156	438
725	1157	436
726	1159	435
727	1161	434
728	1162	432
729	1163	430
730	1164	428
731	1165	426
732	1166	424
733	1167	423
734	1168	421
735	1169	419
736	1171	417
737	1172	416
738	1175	415
739	1175	413
740	1176	411
741	1177	409
742	1178	407
743	1179	405
744	1180	404
745	1181	402
746	1182	400
747	1184	398
748	1186	397
749	1187	395
750	1188	394
751	1189	392
752	1190	390
753	1191	388
754	1192	387
755	1194	385
756	1195	383
757	1197	382
758	1199	380
759	1200	379
760	1201	377
761	1202	375
762	1204	374
763	1205	372
764	1206	370
765	1207	368
766	1208	367
767	1210	365
768	1212	364
769	1213	362
770	1214	360
771	1215	358
772	1216	357
773	1217	355
774	1218	353
775	1219	351
776	1220	350
777	1222	348
778	1224	347
779	1225	345
780	1226	343
781	1227	342
782	1228	340
783	1229	338
784	1230	337
785	1231	335
786	1232	333
787	1234	332
788	1236	330
789	1237	328
790	1238	327
791	1239	325
792	1240	323
793	1241	322
794	1242	320
795	1243	318
796	1245	317
797	1247	315
798	1249	314
799	1250	312
800	1251	310
801	1252	309
802	1253	307
803	1254	305
804	1255	304
805	1256	302
806	1257	300
807	1258	299
808	1260	297
809	1262	296
810	1263	294
811	1263	292
812	1264	290
813	1265	289
814	1267	287
815	1268	285
816	1268	284
817	1269	282
818	1270	280
819	1272	279
820	1274	277
821	1275	276
822	1276	274
823	1277	272
824	1278	271
825	1279	269
826	1280	267
827	1281	266
828	1282	264
829	1284	263
830	1285	261
831	1287	260
832	1288	258
833	1289	256
834	1290	255
835	1291	253
836	1292	251
837	1293	250
838	1294	248
839	1295	246
840	1297	245
841	1300	244
842	1301	242
843	1302	240
844	1303	239
845	1304	237
846	1305	235
847	1306	234
848	1307	232
849	1308	230
850	1310	229
851	1313	228
852	1314	226
853	1315	224
854	1316	223
855	1317	221
856	1318	219
857	1319	218
858	1320	216
859	1321	215
860	1322	213
861	1324	212
862	1325	210
863	1326	208
864	1327	207
865	1328	205
866	1329	203
867	1330	202
868	1332	200
869	1332	199
870	1334	197
871	1336	196
872	1338	194
873	1339	193
874	1340	191
875	1341	189
876	1342	188
877	1343	186
878	1344	185
879	1345	183
880	1346	181
881	1348	180
882	1350	179
883	1352	177
884	1352	175
885	1353	174
886	1354	172
887	1355	171
888	1356	169
889	1357	167
890	1358	166
891	1360	164
892	1362	163
893	1364	161
894	1365	160
895	1366	158
896	1367	157
897	1368	155
898	1369	153
899	1370	152
900	1371	150
901	1373	149
902	1374	147
903	1377	146
904	1378	144
905	1379	143
906	1380	141
907	1381	139
908	1382	138
909	1383	136
910	1384	135
911	1385	133
912	1386	132
913	1388	130
914	1390	129
915	1391	127
916	1392	125
917	1400	125
918	1402	123
919	1404	122
920	1405	120
921	1405	118
922	1406	117
923	1407	115
924	1409	114
925	1410	112
926	1410	111
927	1412	109
928	1413	108
929	1416	106
930	1417	105
931	1418	103
932	1419	101
933	1420	100
934	1421	98
935	1422	97
936	1423	95
937	1424	94
938	1425	92
939	1427	91
940	1429	89
941	1430	88
942	1431	86
943	1432	84
944	1433	83
945	1434	81
946	1435	80
947	1436	78
948	1438	77
949	1440	75
950	1442	74
951	1443	72
952	1444	71
953	1445	69
954	1481	69
955	1483	68
956	1484	66
957	1485	65
958	1488	63
959	1489	62
960	1491	60
961	1492	58
962	1493	57
963	1493	55
964	1494	54
965	1496	52
966	1497	51
967	1500	49
968	1501	48
969	1502	46
970	1503	44
971	1504	43
972	1505	41
973	1506	40
974	1507	38
975	1508	37
976	1509	35
977	1511	33
978	1513	32
979	1514	30
980	1515	29
981	1516	27
982	1517	26
983	1518	24
984	1519	23
985	1521	21
986	1522	20
987	1524	18
988	1526	16
989	1527	15
990	1528	13
991	1529	12
992	1530	10
993	1531	9
994	1532	7
995	1533	6
996	1534	4
997	1536	3
998	1538	1
999	1539	0
